year,period,same_year,country_code,border,country,continent,wbd_region7,schengen,sex,age
2014,2014_II,TRUE,MNG,1,Mongolia,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_II,TRUE,PAK,1,Pakistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,TRUE,UKR,1,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,TRUE,UKR,8,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,TRUE,UNK,1,unknown,other/unknown,other/unknown,non-Schengen,m,18_59
2014,2014_II,TRUE,VNM,1,Vietnam,Asia,East Asia & Pacific,non-Schengen,m,18_59
2015,2015_I,FALSE,AFG,5,Afghanistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,17
2015,2015_I,FALSE,AFG,2,Afghanistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2015,2015_I,FALSE,AGO,1,Angola,Africa,Sub-Saharan Africa,non-Schengen,f,18_59
2015,2015_I,FALSE,AGO,1,Angola,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2015,2015_I,FALSE,ALB,1,Albania,Europe,Europe & Central Asia,non-Schengen,m,18_59
2015,2015_I,FALSE,ARM,5,Armenia,Asia,Europe & Central Asia,non-Schengen,f,17
2015,2015_I,FALSE,ARM,15,Armenia,Asia,Europe & Central Asia,non-Schengen,f,18_59
2015,2015_I,FALSE,ARM,2,Armenia,Asia,Europe & Central Asia,non-Schengen,f,60
2015,2015_I,FALSE,ARM,3,Armenia,Asia,Europe & Central Asia,non-Schengen,m,17
2015,2015_I,FALSE,ARM,27,Armenia,Asia,Europe & Central Asia,non-Schengen,m,18_59
2015,2015_I,FALSE,AZE,4,Azerbaijan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2015,2015_I,FALSE,BEN,1,Benin,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2015,2015_I,FALSE,BGD,3,Bangladesh,Asia,South Asia,non-Schengen,m,18_59
2015,2015_I,FALSE,BGR,1,Bulgaria,Europe,Europe & Central Asia,non-Schengen,m,18_59
2015,2015_I,FALSE,BHR,1,Bahrain,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2015,2015_I,FALSE,BLR,2,Belarus,Europe,Europe & Central Asia,non-Schengen,f,17
2015,2015_I,FALSE,BLR,7,Belarus,Europe,Europe & Central Asia,non-Schengen,f,18_59
2015,2015_I,FALSE,BLR,3,Belarus,Europe,Europe & Central Asia,non-Schengen,f,60
2015,2015_I,FALSE,BLR,1,Belarus,Europe,Europe & Central Asia,non-Schengen,m,17
2015,2015_I,FALSE,BLR,25,Belarus,Europe,Europe & Central Asia,non-Schengen,m,18_59
2015,2015_I,FALSE,BOL,1,Bolivia,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2015,2015_I,FALSE,CAN,1,Canada,Americas,North America,non-Schengen,f,18_59
2015,2015_I,FALSE,CAN,1,Canada,Americas,North America,non-Schengen,m,18_59
2015,2015_I,FALSE,CHN,3,China,Asia,East Asia & Pacific,non-Schengen,f,18_59
2015,2015_I,FALSE,CHN,9,China,Asia,East Asia & Pacific,non-Schengen,m,18_59
